"Aborto","year","Sex"
6,2014,"Male"
8,2014,"Male"
10,2014,"Male"
10,2014,"Male"
3,2014,"Male"
7,2014,"Male"
1,2014,"Male"
8,2014,"Male"
1,2014,"Male"
1,2014,"Male"
6,2014,"Male"
10,2014,"Male"
1,2014,"Male"
4,2014,"Male"
1,2014,"Male"
6,2014,"Male"
10,2014,"Male"
1,2014,"Male"
4,2014,"Male"
1,2014,"Male"
3,2014,"Male"
1,2014,"Male"
10,2014,"Male"
6,2014,"Male"
7,2014,"Male"
1,2014,"Male"
2,2014,"Male"
6,2014,"Female"
1,2014,"Male"
6,2014,"Male"
1,2014,"Male"
1,2014,"Male"
5,2014,"Male"
1,2014,"Male"
1,2014,"Male"
6,2014,"Male"
1,2014,"Female"
4,2014,"Male"
9,2014,"Male"
1,2014,"Male"
1,2014,"Male"
10,2014,"Male"
1,2014,"Male"
1,2014,"Male"
1,2014,"Male"
NA,2014,"Male"
7,2014,"Male"
5,2014,"Male"
10,2014,"Male"
1,2014,"Male"
1,2014,"Male"
2,2014,"Male"
2,2014,"Female"
3,2014,"Male"
6,2014,"Male"
1,2014,"Male"
7,2014,"Male"
6,2014,"Male"
1,2014,"Male"
10,2014,"Male"
6,2014,"Male"
6,2014,"Male"
1,2014,"Male"
1,2014,"Male"
3,2014,"Male"
1,2014,"Male"
1,2014,"Male"
10,2014,"Male"
3,2014,"Male"
1,2014,"Female"
3,2014,"Male"
1,2014,"Male"
1,2014,"Male"
1,2014,"Male"
10,2014,"Male"
6,2014,"Male"
1,2014,"Male"
1,2014,"Male"
10,2014,"Male"
1,2014,"Male"
1,2014,"Male"
2,2014,"Male"
5,2014,"Male"
10,2014,"Male"
1,2014,"Male"
10,2014,"Female"
6,2014,"Female"
4,2014,"Male"
1,2014,"Male"
10,2014,"Male"
1,2014,"Male"
1,2014,"Male"
1,2014,"Male"
1,2014,"Male"
3,2014,"Male"
1,2014,"Male"
8,2014,"Male"
10,2014,"Male"
6,2014,"Male"
1,2014,"Female"
8,2014,"Male"
2,2014,"Male"
7,2014,"Male"
6,2014,"Male"
4,2014,"Male"
8,2014,"Male"
1,2014,"Male"
1,2014,"Male"
6,2014,"Male"
1,2014,"Male"
1,2014,"Male"
7,2014,"Male"
2,2014,"Male"
7,2014,"Male"
NA,2014,"Male"
1,2014,"Male"
6,2014,"Male"
9,2014,"Male"
1,2014,"Male"
5,2014,"Male"
1,2014,"Female"
NA,2014,"Male"
1,2014,"Male"
9,2018,"Male"
10,2018,"Male"
8,2018,"Male"
10,2018,"Male"
6,2018,"Male"
5,2018,"Male"
5,2018,"Male"
5,2018,"Male"
1,2018,"Female"
6,2018,"Male"
6,2018,"Male"
3,2018,"Male"
5,2018,"Male"
10,2018,"Female"
10,2018,"Male"
7,2018,"Male"
10,2018,"Male"
4,2018,"Male"
10,2018,"Male"
5,2018,"Male"
3,2018,"Male"
5,2018,"Female"
5,2018,"Male"
6,2018,"Male"
5,2018,"Male"
9,2018,"Male"
5,2018,"Male"
5,2018,"Male"
10,2018,"Male"
5,2018,"Male"
4,2018,"Male"
9,2018,"Male"
5,2018,"Male"
10,2018,"Male"
5,2018,"Male"
8,2018,"Male"
7,2018,"Male"
10,2018,"Male"
9,2018,"Male"
9,2018,"Male"
10,2018,"Male"
10,2018,"Male"
8,2018,"Male"
10,2018,"Male"
10,2018,"Male"
8,2018,"Male"
10,2018,"Male"
10,2018,"Male"
10,2018,"Male"
NA,2018,"Male"
1,2018,"Male"
10,2018,"Male"
10,2018,"Male"
4,2018,"Male"
10,2018,"Male"
1,2018,"Male"
10,2018,"Male"
5,2018,"Male"
4,2018,"Male"
NA,2018,"Female"
2,2018,"Male"
9,2018,"Male"
10,2018,"Female"
6,2018,"Male"
9,2018,"Male"
3,2018,"Male"
7,2018,"Male"
3,2018,"Male"
9,2018,"Male"
8,2018,"Male"
3,2018,"Male"
5,2018,"Male"
10,2018,"Male"
5,2018,"Male"
1,2018,"Female"
2,2018,"Female"
10,2018,"Male"
10,2018,"Female"
10,2018,"Male"
7,2018,"Male"
5,2018,"Male"
6,2018,"Male"
5,2018,"Male"
5,2018,"Male"
10,2018,"Male"
5,2018,"Male"
5,2018,"Male"
10,2018,"Male"
8,2018,"Male"
NA,2018,"Male"
10,2018,"Male"
5,2018,"Male"
5,2018,"Male"
10,2018,"Male"
10,2018,"Male"
10,2018,"Male"
7,2018,"Female"
9,2018,"Male"
5,2018,"Male"
6,2018,"Female"
NA,2018,"Male"
5,2018,"Male"
5,2018,"Male"
10,2018,"Male"
1,2018,"Male"
5,2018,"Male"
NA,2018,"Male"
10,2018,"Male"
5,2018,"Male"
